Sum_PASSENGERS,AIRLINE_ID,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,DEST_COUNTRY,DEST_COUNTRY_NAME,YEAR,MONTH
242,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2007,12
160,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2008,1
136,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2008,2
148,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2008,3
188,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2008,4
203,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2008,5
217,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2008,6
153,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2008,7
166,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2008,8
140,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2008,9
141,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2008,10
132,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2008,11
191,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2008,12
238,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2009,1
190,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2009,2
230,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2009,3
95,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2000,1
169,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2000,2
156,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2000,3
199,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2000,4
205,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2000,5
184,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2000,6
175,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2000,7
198,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2000,8
204,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2000,9
154,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2000,10
326,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2000,11
421,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2000,12
420,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2001,1
396,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2001,2
560,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2001,3
418,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2001,4
323,19386,Northwest Airlines Inc.,DEL,"Delhi, India",,,IN,India,IAD,"Washington, DC",VA,Virginia,US,United States,2001,5
